rank,candidate,overall_score,semantic_similarity,skill_match,experience_score,education_score,estimated_experience,required_experience,matched_skills,missing_skills,reasoning
1,candidate_01,92.41,88.53,100.0,100.0,70.0,1.8,0.0,"ai, fastapi, generative ai, git, github, machine learning, nlp, python, sql",,"Overall score: 92.41/100. The candidate matches relevant skills including ai, fastapi, generative ai, git, github, machine learning, nlp, python, has strong semantic alignment with the job description, shows approximately 1.8 years of experience, has relevant educational background. Semantic similarity is 88.53/100 and skill matching is 100.0/100. Experience score is 100.0/100 and education score is 70.0/100. Main consideration: no major gaps were detected using the available rules."
2,candidate_07,84.18,77.66,88.89,100.0,70.0,3.0,0.0,"ai, fastapi, generative ai, git, github, nlp, python, sql",machine learning,"Overall score: 84.18/100. The candidate matches relevant skills including ai, fastapi, generative ai, git, github, nlp, python, sql, has strong semantic alignment with the job description, shows approximately 3 years of experience, has relevant educational background. Semantic similarity is 77.66/100 and skill matching is 88.89/100. Experience score is 100.0/100 and education score is 70.0/100. Main consideration: missing identified skills such as machine learning."
3,candidate_02,82.52,83.24,77.78,100.0,70.0,1.2,0.0,"ai, generative ai, github, machine learning, nlp, python, sql","fastapi, git","Overall score: 82.52/100. The candidate matches relevant skills including ai, generative ai, github, machine learning, nlp, python, sql, has strong semantic alignment with the job description, shows approximately 1.2 years of experience, has relevant educational background. Semantic similarity is 83.24/100 and skill matching is 77.78/100. Experience score is 100.0/100 and education score is 70.0/100. Main consideration: missing identified skills such as fastapi, git."
4,candidate_03,75.87,76.34,66.67,100.0,70.0,2.5,0.0,"git, github, machine learning, nlp, python, sql","ai, fastapi, generative ai","Overall score: 75.87/100. The candidate matches relevant skills including git, github, machine learning, nlp, python, sql, has strong semantic alignment with the job description, shows approximately 2.5 years of experience, has relevant educational background. Semantic similarity is 76.34/100 and skill matching is 66.67/100. Experience score is 100.0/100 and education score is 70.0/100. Main consideration: missing identified skills such as ai, fastapi, generative ai."
5,candidate_09,75.73,75.98,66.67,100.0,70.0,1.0,0.0,"ai, generative ai, git, nlp, python, sql","fastapi, github, machine learning","Overall score: 75.73/100. The candidate matches relevant skills including ai, generative ai, git, nlp, python, sql, has strong semantic alignment with the job description, shows approximately 1 years of experience, has relevant educational background. Semantic similarity is 75.98/100 and skill matching is 66.67/100. Experience score is 100.0/100 and education score is 70.0/100. Main consideration: missing identified skills such as fastapi, github, machine learning."
6,candidate_05,72.09,76.61,55.56,100.0,70.0,1.5,0.0,"git, github, machine learning, python, sql","ai, fastapi, generative ai, nlp","Overall score: 72.09/100. The candidate matches relevant skills including git, github, machine learning, python, sql, has strong semantic alignment with the job description, shows approximately 1.5 years of experience, has relevant educational background. Semantic similarity is 76.61/100 and skill matching is 55.56/100. Experience score is 100.0/100 and education score is 70.0/100. Main consideration: missing identified skills such as ai, fastapi, generative ai, nlp."
7,candidate_08,70.02,81.17,44.44,100.0,70.0,0.4,0.0,"github, machine learning, nlp, python","ai, fastapi, generative ai, git, sql","Overall score: 70.02/100. The candidate matches relevant skills including github, machine learning, nlp, python, has strong semantic alignment with the job description, shows approximately 0.4 years of experience, has relevant educational background. Semantic similarity is 81.17/100 and skill matching is 44.44/100. Experience score is 100.0/100 and education score is 70.0/100. Main consideration: missing identified skills such as ai, fastapi, generative ai, git, sql."
8,candidate_06,69.56,80.01,44.44,100.0,70.0,1.0,0.0,"ai, generative ai, github, python","fastapi, git, machine learning, nlp, sql","Overall score: 69.56/100. The candidate matches relevant skills including ai, generative ai, github, python, has strong semantic alignment with the job description, shows approximately 1 years of experience, has relevant educational background. Semantic similarity is 80.01/100 and skill matching is 44.44/100. Experience score is 100.0/100 and education score is 70.0/100. Main consideration: missing identified skills such as fastapi, git, machine learning, nlp, sql."
9,candidate_10,66.17,71.55,44.44,100.0,70.0,0.5,0.0,"ai, generative ai, nlp, sql","fastapi, git, github, machine learning, python","Overall score: 66.17/100. The candidate matches relevant skills including ai, generative ai, nlp, sql, shows moderate semantic alignment with the job description, shows approximately 0.5 years of experience, has relevant educational background. Semantic similarity is 71.55/100 and skill matching is 44.44/100. Experience score is 100.0/100 and education score is 70.0/100. Main consideration: missing identified skills such as fastapi, git, github, machine learning, python."
10,candidate_04,64.37,76.75,33.33,100.0,70.0,0.8,0.0,"github, nlp, python","ai, fastapi, generative ai, git, machine learning, sql","Overall score: 64.37/100. The candidate matches relevant skills including github, nlp, python, has strong semantic alignment with the job description, shows approximately 0.8 years of experience, has relevant educational background. Semantic similarity is 76.75/100 and skill matching is 33.33/100. Experience score is 100.0/100 and education score is 70.0/100. Main consideration: missing identified skills such as ai, fastapi, generative ai, git, machine learning, sql."
